WP,LAT,LONG
LP706,13 18 04.4080 N,089 00 46.1310 W
LP708,13 18 37.3810 N,089 01 47.4850 W
LP710,13 42 22.2570 N,089 36 10.3180 W
LP712,13 52 32.1230 N,089 45 20.7160 W
LP714,13 55 38.3810 N,089 47 02.0170 W
LP720,13 29 35.1210 N,088 54 33.8460 W
LP722,13 50 49.4740 N,089 50 21.3370 W
LP724,13 29 57.0440 N,088 53 17.0470 W
LP726,13 30 17.9670 N,088 51 40.8610 W
LP728,13 34 11.5340 N,088 47 28.3050 W
LP730,13 36 55.6290 N,088 47 24.1320 W
LP732,13 38 09.3720 N,088 47 51.1260 W
LP734,13 40 50.7080 N,088 50 52.3440 W
LP736,13 41 12.6630 N,088 52 40.2720 W
LP738,13 42 45.1080 N,089 31 40.4830 W
LP740,13 56 46.5520 N,089 33 16.3290 W
LP742,13 57 34.2460 N,089 37 32.0180 W
LP744,13 53 26.1850 N,088 55 38.7810 W
LP746,13 56 30.3490 N,088 51 59.8560 W
LP748,13 57 23.3460 N,088 40 46.0500 W
LP750,13 37 08.1900 N,088 20 04.4090 W
LP752,13 38 22.0340 N,088 16 12.9600 W
LP790,13 23 52.3380 N,088 45 40.8110 W
LP800,13 25 28.2730 N,089 06 06.3620 W
LP802,13 25 06.7130 N,089 11 35.9410 W
LP804,13 25 57.7490 N,089 13 15.2600 W
LP806,13 27 15.2040 N,089 15 05.1920 W
LP810,13 44 42.4340 N,089 39 55.3740 W
LP812,13 48 10.7790 N,089 43 01.3130 W
LP814,13 55 17.0290 N,089 46 51.8230 W
LP820,13 34 01.3370 N,089 17 01.0540 W
LP822,13 43 15.7710 N,089 12 59.5990 W
LP824,13 59 53.5680 N,089 05 44.1830 W
LP826,13 45 51.3860 N,089 12 21.3120 W
LP828,14 01 15.7070 N,089 11 15.6180 W
LP830,13 46 13.5100 N,089 10 46.0130 W
LP832,13 59 31.7280 N,088 54 47.2050 W
LP840,13 16 28.7400 N,089 07 02.4970 W
LP842,13 15 56.3610 N,089 05 48.6450 W
LP844,13 16 21.1100 N,089 01 52.7640 W
LP846,13 31 32.1220 N,088 33 35.3050 W
LP848,13 32 02.9830 N,088 32 30.2690 W
LP850,13 34 00.9990 N,088 27 46.8940 W
LP890,13 18 09.2970 N,089 21 29.0380 W
LPC05,13 23 03.9440 N,088 57 51.8710 W
LPC06,13 31 15.6170 N,089 09 21.3640 W
LPC07,13 31 49.0870 N ,089 11 43.7080 W
LPC08,13 40 06.6870 N,089 05 26.0380 W
LPC09,13 46 24.6230 N,089 20 33.3610 W
LPC10,13 22 46.1660 N,089 18 22.9540 W
LPC11,13 52 52.0630 N,089 33 55.8990 W
LPC12,13 20 45.1810 N,089 04 20.9460 W
LPC13,13 20 57.5970 N,088 27 40.8990 W
LPC14,13 22 43.3290 N,088 58 49.7110 W
LPC15,14 06 10.5410 N,089 18 59.4790 W
LPC16,13 20 08.7650 N,088 51 03.4740 W
LPC17,13 25 23.8240 N,088 50 34.0820 W
LPC18,13 35 41.5080 N,088 52 54.4060 W
LPC19,13 45 31.1610 N,089 37 40.7960 W
LPC20,13 56 45.2430 N,088 24 29.5150 W
LPC50,13 40 13.4070 N,089 12 42.0440 W
LPC51,13 26 44.8440 N,089 34 53.8940 W
LPC52,13 22 17.7770 N,089 06 00.9320 W
LPC53,13 09 05.4510 N,089 01 22.3190 W
LPC54,13 02 17.5560 N,088 40 57.0540 W
LPC55,13 19 12.4080 N,088 06 15.4140 W
LPC56,13 36 40.3900 N,088 52 42.5020 W
LPC57,14 02 57.3030 N,088 54 07.8240 W
LPC58,13 27 57.4720 N,089 08 07.4910 W
LPC59,13 26 27.0150 N,089 14 09.9530 W
LPC60,13 42 11.3790 N,089 17 50.4440 W
LPC61,14 02 26.7330 N,089 44 10.4490 W
LPC62,15 53 43.1020 N,089 12 51.5410 W
LPC63,14 04 41.5640 N,089 01 56.9070 W
LPC64,13 41 43.2070 N,088 59 48.6600 W
LPC65,14 00 41.4240 N,088 51 58.8070 W
LPC66,13 30 36.9560 N,089 00 40.3940 W
LPC67,13 41 46.3620 N,089 26 36.3670 W
LPC68,13 43 58.2900 N,089 21 41.8480 W
LPC69,13 20 24.5410 N,089 05 18.7670 W
LPC70,13 24 57.2010 N,088 58 33.9850 W
LPC71,13 21 39.6860 N,088 57 56.1290 W
LPC72,13 16 24.7760 N,088 32 23.5610 W
LPC73,13 39 01.6020 N,088 49 03.0880 W
LPC74,13 44 11.0680 N,088 57 37.5900 W
LPC75,14 04 43.6630 N,089 01 26.1140 W
LPC77,13 56 38.6390 N,088 37 50.9830 W
LPC78,13 41 58.2260 N,089 01 49.0650 W
LPC79,13 37 43.7430 N,088 45 38.8970 W
,,
,,
OBRAS,13 57 48.0000 N,089 58 38.0000 W
